campus_name,alamat,kota
Stain Pamekasan,Jl. Panglegur Km 4,Pamekasan
Stisip 17-8-1945 Makassar,Jl A Pangerang Pettarani No 99,Makassar
Politeknik Muara Teweh,"Jl.Negara Muara Teweh-Banjarmasin, Km.7,5 Muara Teweh.",Barito Utara
Sekolah Tinggi Filsafat Jaffray Makassar,,Makassar
Politeknik Madiun,Jalan Serayu No 84 Kelurahan Pandean,Nan
Akademi Kebidanan Dharma Praja Bondowoso,Jl. Mt Hariyono 30 A Bondowoso,Bondowoso
Sekolah Tinggi Teologi Jaffray Jakarta,"Jln. Jatinegara Timur Ii No. 35, Jakarta Timur",Bogor
Institut Kesehatan Immanuel,Nan,Bandung
Stikes Adiwangsa Tebing Tinggi,Tebing Tinggi,Nan
Institut Teknologi Telkom Purwokerto,Jl. D.I. Panjaitan No. 128,Banyumas
Politeknik Pariwisata Bali,Nan,Badung
Universitas Persatuan Guru 1945 Ntt,"Jl. P.A. Manafe, Belakang Polresta Kota Kupang No 7 Kel. Kayu Putih",Kepulauan Talaud
Sekolah Tinggi Ilmu Kesehatan Respati,"Jl Laksda Adisutjipto Km 6,5 Depok Sleman",Nan
Institut Kristen Borneo,Nan,Balikpapan
Stak Negeri Tarutung,,Nan
Stit Al-Azhar Sidoarjo,Mojopahit No.11 Sidoarjo 61215,Sidoarjo
Stai Al-Hamidiyah Jakarta,"Jalan Raya Depok-Sawangan Km. 2 No. 12 Rangkepanjaya, Pancoran Mas, Depok",Depok
"Stai Al-Falah Banjarbaru, Banjarmasin Kalimantan Selatan",Jl. A. Yani Km 23 Landasan Ulin Tengah Kecamatan Liang Anggang,Banjarbaru
Politeknik Indramayu,Jl.Raya Lohbener Lama No.8 Kec.Lohbener,Nan
Akademi Kebidanan Perwira Husada Purwokerto,Jalan Letjend Soepardjo Roestam No. 170 Sokaraja Purwokerto,Nan
Stkip Pgri Lumajang,Jalan Pisang Gajih No 2,Lumajang
Sekolah Tinggi Ilmu Ekonomi Malangkucecwara,Jl Terusan Candi Kalasan,Malang
Sekolah Tinggi Ilmu Kesehatan Sismadi,Jalan Warakas Raya No 5-B Tanjung Priok,Nan
Universitas Siber Indonesia,Nan,Nan
Akademi Kebidanan Ika Bina Labuhan Batu,Jalan Dewi Sartika Komplek Citra Raysa Indah,Nan
Institut Islam Ma'Arif Jambi,"Jalan Kh. Abdurrahman Wahid, Kelurahan Talang Bakung, Kecamatan Paal Merah",Nan
Institut Teknologi Nasional Bandung,Jalan Phh Mustapha No 23,Bandung
Akademi Manajemen Indonesia Semarang,Jalan Taman Kelud Utara Iii G 40-41,Nan
Sekolah Tinggi Pendidikan Agama Kristen (Stipak) Malang,Jl. A.R Hakim No 16 Malang,Malang
Akademi Pariwisata Krisanti Widya Mandiri,"Jl Kampung Melayu Kecil V22 Kelurhaan Bukit Duri, Tebet",Nan
Sekolah Tinggi Ilmu Kesehatan Sumatera Utara,Jalan Jamin Ginting Kel. Lau Cih Kec Medan Tuntungan,Nan
"Stai Bustanul Ulum Krai, Lumajang",Jl.Doktren No 26 Krai Yosowilangun Lumajang,Nan
Akademi Keperawatan Dian Husada,Jalan Raya Jabon 40,Nan
Akademi Keperawatan Pemkot Pasuruan,Kampus 1 : Jl. Mangga No. 7 Pasuruan Kampus 2 : Jl. Kh. Mansyur No.207 Pasuruan,Pasuruan
Stai Ihyaul Ulum Gresik,Jalan Timur Pasar Dukun 104 Dukun Gresik,Nan
Universitas Maritim Amni,Nan,Semarang
Sekolah Tinggi Ilmu Farmasi Dan Pengetahuan Alam Pelita Mas Palu,Jalan Wolter Monginsidi No 106-A,Palu
Stkip Riama,"Jalan Tritura No 6, Marendal",Medan
Akademi Teknik Elektromedik Muhammadiyah Makassar,Jalan Dr Sam Ratulangi No 101,Nan
Akademi Kebidanan Muslimat Nahdlatul Ulama Kudus,Jl. Lambao Karangsambung Rt.01/Iv Bae Kudus,Kudus
Akademi Sekretari Interstudi,Jalan Bulungan No 6 Kebayoran Baru,Nan
Universitas Telkom,"Jl. Telekomunikasi Terusan Buah Batu Bandung-40257, Jawa Barat, Indonesia",Bandung
Akademi Kebidanan Internasional Pekanbaru,Jalan Sudirman No 630 Tangkerang,Pekanbaru
Politeknik Atmi,"Jl. Mojo No 1 Karangasem Rt.005 Rw.007 Kel. Karangasem, Kec. Laweyan, Surakarta",Surakarta
Institut Ilmu Kesehatan Strada Indonesia,Nan,Kediri
Akademi Seni Rupa Dan Desain Akseri,Jalan Gejayen No 5 Mrican,Nan
Universitas Internasional Papua,Nan,Jayapura
Sekolah Tinggi Ilmu Ekonomi Banten,Jl Let Jidun No 7-C Kepandean,Serang
Universitas Muhammadiyah Sinjai,Rt/Rw 001/001 Jl. Teuku Umar No.8 Kelurahan Biringngere Kec. Sinjai Utara,Landak
Akademi Keperawatan Serulingmas,Jalan Raya Maos No 505 A Maos,Cilacap
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Mamuju,Kampus 1 : Jalan Pattalunru No 2 Kampus 2 : Jalan Baharuddin Lopa,Mamuju
Sekolah Tinggi Ilmu Ekonomi Tamansiswa,Jalan Mayjen Panjaitan No 29 Banjarnegara,Banjarnegara
Stie Saint Theresa,Nan,Merauke
Stai Miftahul Ulum Tanjung Pinang,Kantor Pusat : Jl. Kepodang Iv Km.11 Tanjungpinang Kampus 2 : Jl. Ir. Sutami Km,Tanjung Pinang
Sekolah Tinggi Ilmu Ekonomi Wirawacana,Jalan R Suprapto No 35,Nan
Stmik Amik Riau,Jalan Purwodadi Indah Km 10 Panam Pekanbaru,Pekanbaru
Sekolah Tinggi Ilmu Ekonomi Pembangunan Nasional,Jalan Karet No.30,Gunungsitoli
Akademi Kebidanan Cipto Medan,Jl Perjuangan No 159,Nan
Sekolah Tinggi Agama Islam Al-Utsmani Bondowoso,"Dusun Bedian Rt. 29 Rw. 06 Desa Jambesari, Kecamatan Jambesari Darus Sholah, Kabupaten Bondowoso, Provinsi Jawa Timur",Bondowoso
"Stai Brebes, Jawa Tengah",Jl. Yos Sudarso No. 36,Brebes
Sekolah Tinggi Teologi Baptis Indonesia,Jalan Simongan No.1,Semarang
Stai Terpadu Yogyakarta,Jln. Mendung Warih No. 125 Giwangan Yogyakarta,Yogyakarta
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Kusuma Negara,"Jl Raya Bogor Km 24, Cijantung",Natuna
Sekolah Tinggi Ilmu Ekonomi Jiu,Nan,Nan
Akademi Perpajakan Ypkm,Ar Hakim No 6,Nan
Akademi Kebidanan Meuligoe Nur Amin,Jl. Cedrawasih No.14 Ujung Baroh Kecamatan Johan Pahlawan Kabupaten Aceh Barat,Nan
Stkip Pahlawan Tuanku Tambusai,Jl. Tuanku Tambusai No. 23 Bangkinang Kampar Riau,Nan
Universitas Famika,Nan,Nan
Akademi Manajemen Informatika Dan Komputer Polibisnis,"Jl. Keramat Kubah, No. 01 Nagori Perdagangan Ii Kec. Bandar",Simalungun
"Stai Muhammadiyah Paciran, Lamongan","Jln. Raya Daendels Km 74,2 Paciran Lamongan 62264 Jawa Timur",Sidoarjo
Akademi Pariwisata Nusantara Jaya,Komplek Hotel Bumi Wiyata Jl. Margonda Raya Po.Box. 1045 Depok,Depok
Sekolah Tinggi Agama Kristen Lentera Bangsa Manado,,Manado
Akademi Teknik Otomotive Makassar,Meranti No 1,Nan
Akademi Bahasa Asing Yipk Yogyakarta,Jl Ki Ageng Pemanahan No 19,Nan
Akademi Keperawatan Bhakti Husada Cikarang,Jalan Re Martadinata Cikarang,Bekasi
Sekolah Tinggi Ilmu Al-Qur'An Darussalam Lhokseumawe Aceh,Jalan Iskandar Muda No. 24 F Kampung Jawa Lama Kota Lhokseumawe Aceh,Nan
Sekolah Tinggi Ilmu Kesehatan Bhakti Kencana,Jalan Soekarno Hatta No 754 Cibiru Kota Bandung,Nan
Politeknik Manufaktur Igasa Pindad,Jalan Kiaracondong No 206,Nan
Stt Injili Arastamar Nabire,,Nan
Akademi Keperawatan Rantepao,Jalan Pongtiku No 39,Nan
Stt Levinus Rumaseb Sentani,Sekolah Tinggi Teologi Levinus Rumaseb Sentani Jln. Depapre-Daime-Daime Rt.Rw 0,Teluk Bintuni
Ikip Pgri Madiun,Jalan Setiabudi No 85,Nan
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Abdul Mujib Laewang Dampal Selatan,Nan,Toli Toli
Universitas Medan Area,1. Jalan Kolam No. 1 Medan Estate - Medan (Kampus Utama / I) 2. Jalan Setia Budi,Medan
Universitas Musi Rawas,"Jalan Pembangunan Komplek Pemkab Musi Rawas, Kel. Air Kuti",Lubuk Linggau
Sekolah Tinggi Ilmu Ekonomi Syariah (Sties) Sayaga Saniskara Nusantara,-,Cianjur
Akademi Farmasi Bina Farmasi,Jl. Towua No. 114 Palu,Palu
Akademi Kebidanan Salewangan Maros,Jalan Poros Makassar - Maros,Nan
Universitas Syekh Yusuf Al Makassari Gowa,Nan,Gowa
Stai Raden Rahmat Kepanjen Malang,"Jl. Raya Mojosari No.02, Kepanjen",Nan
Sekolah Tinggi Ekonomi Islam Abdussalam,"Komplek Ponpes Abdussalam Jalan Parit Surabaya Dusun Maju Bersama Nomor 11 Rt 003 Rw 001, Desa Pasak, Kecamatan Sungai Ambawang",Sintang
Universitas Muhammadiyah Palu,Jalan Hang Tuah No 29,Donggala
Sekolah Tinggi Ilmu Kesehatan Rs Prof. Dr. J.A. Latumeten,Nan,Nan
Akademi Kesenian Melayu Riau,Jl Jenderal Sudirman Purna Mtq,Pekanbaru
Sekolah Tinggi Agama Islam Nurul Islam Mojokerto,Nan,Mojokerto
Universitas Cokroaminoto Makassar,Jl Perintis Kemerdekaan Km 11,Makassar
Sekolah Tinggi Ilmu Ekonomi Semarang,Jalan Menoreh Utara Raya No 11 Semarang,Semarang
Sekolah Tinggi Manajemen Informatika Dan Komputer Triguna Utama,Nan,Pati
Sekolah Tinggi Pastoral-Yayasan Institut Pastoral Indonesia Malang,Jln. Seruni No. 6 Malang,Malang
Akademi Penerbang Indonesia Banyuwangi,Komplek Bandar Udara Internasional Banyuwangi Jl. Agung Wilis Dsn Krajan Kec Blimbingsari Banyuwangi Jawa Timur,Banyuwangi
Politeknik Bisnis Indonesia,Jalan Pertambangan No 2-A,Nan
Sekolah Tinggi Ilmu Syariah Nurul Qarnain,"Jl. Imam Sukarto No 60 Kelurahan Balerbaru, Kecamatan Sukowono Kabupaten Jember, Provinsi Jawa Timur",Jember
Sekolah Tinggi Alkitab Gpdi Beiji,,Nan
Sekolah Tinggi Kulliyatul Qur'An Al-Hikam Depok,Jl. H. Amat 21 Rt/Rw 06/01 Kukusan Beji Depok,Nan
Stai An-Nur Lampung Selatan,Jl. Pesantren No. 01 Desa Sidoharjo Kecamatan Jati Agung Kabupaten Lampung Selat,Nan
Institut Medika Drg. Suherman,Jl Raya Industri Pasir Gombong Jababeka,Bekasi
Stis Kebumen Jawa Tengah,Jl. Kutoarjo Km. 12 Mekarsari Kutowinangun Kebumen,Kebumen
Stmik Sentra Pendidikan Bisnis,Jl. Pahlawan No.2A Samarinda,Nan
Sekolah Tinggi Ilmu Kesehatan Bina Husada,Jalan Syech Abdul Somad No 28,Merauke
Universitas Pgri Delta,Nan,Nan
Stkip Usman Safri Kutacane,Jl. Pulonas Baru No. 6 Kecamatan Lawe Bulan,Aceh Tenggara
Universitas Safin Pati,Nan,Grobogan
Akademi Sekretari Dan Manajemen Bina Insani,Sentra Niaga Kalimalang B211 Jalan Ahmad Yani,Nan
Akademi Gizi Surabaya,Jl. Bendul Merisi 126 Surabaya,Surabaya
Stai At-Taqwa Bekasi,"Jl. Kh. Noer Alie, Ujungharapan Kelurahan Bahagia Kecamatan Babelan Kabupaten Be",Bekasi
Stkip Setia Budhi,Jalan Budi Utomo No 22-L,Lebak
Stkip Pelita Nusantara Buton,Kampus Mekar: Jl. Pahlawan Km. 4 Baubau,Bau Bau
"Sekolah Tinggi Ilmu Syariah As Salafiyah Sumber Duko, Pamekasan Jawa Timur",-,Pamekasan
Institut Agama Islam Negeri Parepare,Nan,Kepulauan Talaud
Akademi Keperawatan Pemkab Musi Banyuasin,Jln. Kol. Wahid Udin Lk I Kel. Kayuara Kec. Sekayu,Nan
Universitas Sahid Surakarta,Jalan Adi Sucipto 154 Jajar,Surakarta
Universitas San Pedro,Jl. Kenanga No. 1 Kel. Naikolan,Kupang
Akademi Kebidanan Cipta Daya Husada,Jl. Imam Bonjol Kebon Jati No. 79 Kel. Bojong Jaya Karawaci Kota Tangerang,Nan
Sekolah Tinggi Ekonomi Islam (Stei) Husnayain Jakarta Timur,-,Nan
Universitas Hafshawaty Zainul Hasan,Nan,Nan
Sekolah Tinggi Teknologi Informasi Respati,"Jl Laksda Adisutjipto Km 6,5 Depok Sleman",Nan
Sekolah Tinggi Ilmu Tarbiyah (Stit) Mumtaz,"Jln. Pertambangan Kel. Teluk Una Kec. Tebing, Kab. Karimun Kepulauan Riau",Nan
Universitas Widya Kartika,"Jl Sutorejo Prima Utara Ii/1, Surabaya",Surabaya
Sekolah Tinggi Ilmu Ekonomi Sumbar,"Jl. Kolonel H. Anas Malik, Bypas Kampung Gadang",Pariaman
Sekolah Tinggi Pariwisata Trisakti,"Jalan Ikpn - Tanah Kusir, Bintaro",Administrasi Jakarta Selatan
Sekolah Tinggi Ilmu Komputer Muhammadiyah Batam,"Komp Muhammadiyah, Jln Prof Dr Hamka No 3, Tembesi, Batu Aji, Kota Batam.",Batam
Sekolah Tinggi Teknologi Sapta Taruna,"Jalan D I Panjaitan Kav 12 Cawang, Jakarta",Administrasi Jakarta Timur
Universitas Kristen Maranatha,Jl Prof Drg Suria Sumantri 65,Bandung
Stkip Majenang,Jl. Raya Pahonjean Km. 2 Majenang Kab. Cilacap Jawa Tengah,Nan
Institut Agama Islam Riyadlotul Mujahidin Ngabar (Iairm) Ponorogo,Jl. Sunan Kalijaga Desa Ngabar Kecamatan Siman Kabupaten Ponorogo,Ponorogo
Sekolah Tinggi Ilmu Manajemen Dan Ilmu Komputer Esq,"Lantai 19, Menara 165, Jl. Tb Simatupang Kavling 1, Cilandak, Jakarta Selatan, I",Nan
Sekolah Tinggi Pariwisata Sahid Surakarta,Jalan Adi Sucipto 154 Jajar,Surakarta
Politeknik Tonggak Equator Pontianak,Jalan Fatimah 1-2 Pontianak,Pontianak
Poltekkes Kemenkes Tanjung Pinang,Jl. Arif Rahman Hakim No.1 Tanjungpinang,Nan
Apikes Iris,Jalan Gajah Mada No 23 Gunung Pangilun,Padang
Akademi Kebidanan Estu Utomo,Jalan Tentara Pelajar Mudal,Nan
Universitas Katolik Indonesia Atma Jaya,Jalan Jenderal Sudirman 51,Administrasi Jakarta Selatan
Akademi Teknik Taman Siswa,,Nan
Akademi Teknik Alat Berat Indonesia,Nan,Malang
Akademi Teknik Radiodiagnostik Dan Radioterapi Nusantara,Jln. Utan Kaya Raya No. 67 Matraman - Jakarta Timur,Nan
Sekolah Tinggi Ilmu Ekonomi Surakarta,Jl Slamet Riyadi 435-437 Makamhaji,Sukoharjo
Institut Teknologi Del,Institut Teknologi Del Jl. Sisingamangaraja Sitoluama-Laguboti,Nan
Akademi Akuntansi Bhakti,Jl Ahmad Rasjidi Hamzah,Nan
Amik Sultan Agung,Ir H Juanda No 139,Bekasi
Universitas Nusa Tenggara Barat,Jalan Tawak-Tawak Karang Sukun Mataram,Mataram
Stia Amal Ilmiah Wamena,Jalan Yos Sudarso Kabupaten Jayawijaya,Nan
Stei Al-Ishlah Bobos Dukupuntang Cirebon,Jl. Imam Bonjol No.13 Ponpes Al-Ishlah Bobos Dukupuntang Cirebon,Cirebon
Politeknik Zanjabila Banten,Nan,Serang
Stmik Tidore Mandiri,Jl Sultan Zainal Abidin Syah No 25,Tidore Kepulauan
Politeknik Santo Paulus Surakarta,Jl. Dr. Rajiman 656 R Surakarta,Surakarta
Sekolah Tinggi Teologi Presbyterian Medan,Nan,Deli Serdang
Sekolah Tinggi Teologi Pantekosta Batam,,Batam
Universitas Islam Al-Azhar,Jalan Unizar No.20 Turide Sandubaya Mataram Nusa Tenggara Barat,Mataram
Universitas Global Jakarta,Jl. Boulevard Grand Depok City Tirta Jaya Kec. Sukma Jaya,Depok
Akademi Keperawatan Muhammadiyah Samarinda,Jalan Ir H Juanda No 15,Nan
Sekolah Tinggi Ilmu Ekonomi Jambatan Bulan,"Jl. Hasanuddin, Nawaripi",Mimika
Stmik Rosma,"Jl. Parahiyangan, Adiarsa Barat, Kec. Karawang Barat",Karawang
Stmik Lpkia Bandung,Jalan Soekarno Hatta No 456,Nan
Sekolah Tinggi Ilmu Kesehatan Karimun,"Jl. Prambanan No. 99, Komp. Widya Sei. Jodoh, Batam",Batam
Akademi Farmasi Yayasan Al-Fatah,Akademi Farmasi Al-Fatah Bengkulu,Bengkulu
Universitas Merdeka Pasuruan,Jalan Ir H Juanda No 68,Pasuruan
Institut Agama Islam Al-Amanah Jeneponto,"Karisa Jalan Ke Pannara Kelurahan Empong Selatan, Kecamatan Binamu, Kabupaten Jeneponto, Provinsi Sulaweei Selatan",Jeneponto
Sekolah Tinggi Ilmu Ekonomi Muara Teweh,Jl.Achmad Yani No.7 Muara Teweh,Barito Utara
Sekolah Tinggi Teknologi Jakarta,Jl Jatiwaringin Raya No 278 Pondok Gede,Nan
Politeknik Pembangunan Pertanian Yogyakarta - Magelang,Nan,Magelang
Stid Al-Biruni Babakan Ciwaringin,Jl. Pesantren Babakan Ciwaringin No. 1 Cirebon Jawa Barat,Cirebon
Universitas Bojonegoro,Jl Lettu Sujitno No 2 Ds. Kalirejo,Bojonegoro
Stikes Mitra Bunda Persada,"Jalan Seraya No 1, Batam",Batam
Sekolah Tinggi Bahasa Asing Methodist,"Jl Jenderal Sudirman Km 3,5",Nan
Sekolah Tinggi Ilmu Hukum Muhammadiyah Kotabumi,Jl Hasan Kepala Ratu No 1052 Sendangsari,Lampung Utara
Universitas Nahdlatul Ulama Nusa Tenggara Barat,Jl. Pendidikan No. 06 Mataram,Mataram
Sekolah Tinggi Ilmu Administrasi Pembangunan,Jalan Lumba-Lumba No 9 Jember,Jember
Akademi Komunitas Multistrada,"Jl. Raya Lemahabang Km. 58,3 Karangsari",Nan
Institut Sains Dan Teknologi Td Pardede,Jalan Dr T D Pardede No 8 Medan,Medan
Akademi Kebidanan Baruna Husada Sibuhuan,Jalan Lintas Sibuhuan-Gunung Tua Km.8 Desa Sangkilon Kecamatan Lubuk Barumun Kab,Nan
Institut Agama Islam Al Mawaddah Warrahmah Kolaka Sulawesi Tenggara,Nan,Kolaka
Politeknik Unggul Lp3M,Jalan Iskandar Muda No 3Ef Medan,Medan
Universitas Darma Persada,"Jalan Taman Malaka Selatan, Kel. Pondok Kelapa, Kec. Duren Sawit, Kota Jakarta Timur Provinsi Dki Jakarta",Pangandaran
Amik Catur Sakti Kendari,Jalan Abdullah Silondae No 109,Nan
Politeknik Yakpermas Banyumas,"Jl. Raya Jompo Kulon, Sokaraja, Dusun Ii Jompo Kulon, Jompo Kulon",Banyumas
Sekolah Tinggi Ilmu Kepolisian,Jl. Tirtayasa Raya No. 6 Rt 9/4 Kel. Melawai Kec. Kebayoran Baru Jakarta Selat,Administrasi Jakarta Selatan
Akademi Farmasi Surabaya,Jl Ketintang Madya No 81 Surabaya (Belakang Sma Al Falah Ketintang Surabaya),Surabaya
Institut Agama Islam Sultan Muhammad Syafiuddin Sambas,-,Sambas
Stba Persahabatan Internasional Asia,Jl. K.L Yos Sudarso No.17 Lorong 12 Lingkungan Ix Glugur Kota Medan,Medan
Stai Darussalam (Staida) Blokagung Tegalsari Banyuwangi,Jl. Pon. Pes. Darussalam Dsn. Blokagung Desa Karangdoro Kec. Tegalsari Kab. Bany,Nan
Stisi Telkom,Jl. Telekomunikasi - Terusan Buahbatu - Dayeuh Kolot,Nan
Akademi Kebidanan Wiyata Mitra Husada Nganjuk,Jl. Panglima Sudirman No. 139 Kertosono - Nganjuk,Gresik
Politeknik Elbajo Commodus,Nan,Manggarai Barat
Universitas Dipa Makassar,"Jalan Perintis Kemerdekaan Km. 9, Kota Makassar",Makassar
Institut Teknologi Dan Bisnis Kristen Regent,Nan,Nan
Politeknik Penerbangan Jayapura,Nan,Jayapura
Universitas Agung Podomoro,"Apl Tower Lantai 5, Jl. S. Parman Kav. 28, Jakarta Barat",Administrasi Jakarta Barat
Akademi Ilmu Pelayaran Nusa Tenggara,"Jl. Raya Labuhan Haji, Montong Meong,",Lombok Timur
Institut Seni Indonesia Padang Panjang,Jln. Bundo Kanduang No 35 Padangpanjang Sumatera Barat,Padang Panjang
Ikip Pgri Wates,Jl. Krt Kertodiningrat No 5 Pengasih Kulonprogo Diy,Kulon Progo
Akademi Pariwisata Bhakti Nusantara,Jl. Raya Pegangsaan Dua Km. 5 Kelapa Gading Jakarta Utara,Nan
Sekolah Tinggi Ilmu Komunikasi Almamater Wartawan Surabaya,Jl Nginden Intan Timur I18,Surabaya
Amik Purnama Niaga,Jl. Ir. H. Djuanda No. 256 Indramayu,Nan
Stmik Syaikh Zainuddin Nahdlatul Wathan,Jl. Raya Mataram-Lb. Lombok Km. 49 Anjani Lombok Timur - Ntb,Lombok Timur
Sekolah Tinggi Ilmu Ekonomi Kh. Bahaudin Mudhary Madura,Nan,Nan
Politeknik Pariwisata Medan,Medan,Nan
Institut Kesehatan Prima Nusantara Bukittinggi,Nan,Nan
Sekolah Tinggi Agama Islam (Stai) Wakatobi,"Jln. Ediarto Rusmin, Bae., S.Sos No. 17 Wangi-Wangi, Kab. Wakatobi, Sulawesi Ten",Wakatobi
Universitas Iqra Buru,"Jl. Prof. Dr. Abdurrachman Bassalama, M.Si",Buru
Universitas Fajar,Jl Racing Centre No 101,Makassar
Stebis Al-Ulum Terpadu Medan,-,Medan
Politeknik Bhakti Semesta,Nan,Salatiga
Universitas Islam Bunga Bangsa Cirebon,Nan,Cirebon
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Meranti,Jl. Utama No. 09 Bagan Melibur Kec. Merbau,Kepulauan Meranti
Institut Agama Islam As'Adiyah Sengkang,Jl. Veteran No 46 Sengkang,Wajo
Sekolah Tinggi Teologi Makedonia Ngabang,"Jl. Raya Ngabang - Pontianak, Km.14, Desa Amboyo Inti Plasma V, Kec. Ngabang, Kab. Landak, Kalimantan Barat",Landak
Sekolah Tinggi Ilmu Kesehatan Fatmawati,Nan,Depok
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Al Maksum,Jl. Sei Batang Serangan No.04. Kwala Bingai Stabat,Langkat
Sekolah Tinggi Teknologi Bengkulu,Nan,Nan
Stmik Dharma Putra,Jl Otto Iskandardinata No 80 Pasar Baru,Nan
Akademi Bisnis Internasional Samarinda,Jl Moh Yamin No 6,Nan
Akademi Kebidanan Mamba Ul Ulum Surakarta,"Jl.Ring Road Utara Tawangsari, Mojosongo, Jebres",Nan
Universitas Binawan,Jl. Kalibata Raya No. 25-30,Administrasi Jakarta Timur
Sekolah Tinggi Manajemen Yaksi,Jl Ciledug Raya No 77,Nan
Politeknik Borneo Medistra,Nan,Balikpapan
Institut Pertanian Bogor,"Jl. Raya Darmaga Kampus Ipb Darmaga Bogor 16680 Jawa Barat, Indonesia",Bogor
Sekolah Tinggi Ilmu Kesehatan Audi Husada Medan,"Jl. Bunga N'Cole Raya No.83, Kemenangan Tani",Nan
Sekolah Tinggi Ilmu Ekonomi Ipwi Jakarta,"Jl. H. Baping No.17 Ciracas, Jakarta Timur",Administrasi Jakarta Timur
Akademi Keperawatan Baiturrahmah,Jalan Raya By Pass Km 15 Aie Pacah,Padang
Sekolah Tinggi Ilmu Dakwah Dan Komunikasi Islam Al Mardliyyah Pamekasan,Jl. Raya Tagang Ser Laok Kecamatan Waru Kabupaten Pamekasan,Pamekasan
Sekolah Tinggi Ilmu Syariah Nahdlatul Ulama (Stisnu) Nusantara Tangerang,Jl. Perintis Kemerdekaan Ii Cikokol Rt. 007/003 Kel. Babakan Kec. Tangerang,Tangerang
Sekolah Tinggi Teologi Internasional Cornerstone Denpasar,Jalan Gatot Subroto Timur Nomor 320,Nan
Sekolah Tinggi Ilmu Manajemen Publik Makassar,Jalan Maccini Tengah No 50-54 Makassar,Murung Raya
Stis Sentra Bisnis Islami Surabaya,Jl. Kalidami No 14-16 Surabaya,Surabaya
Akademi Sekretari Dan Manajemen Bhakti,Jalan Paus No 35 Kav Blok C,Nan
Universitas Pembangunan Nasional Veteran Yogyakarta,"Jl. Swk 104 (Lingkar Utara), Condongcatur, Yogyakarta",Sleman
Akademi Keperawatan Pemkab Aceh Utara,,Lhokseumawe
Sekolah Tinggi Ilmu Tarbiyah Al Bukhary Labuhan Batu,Jl. Sempurna /Al Bukhary Kelurahan Bajaran Batu Kecamatan Rantau Selatn Kabupate,Labuhanbatu
Politeknik Negeri Sambas,"Jalan Raya Sejangkung - Sambas , Kalimantan Barat",Sambas
Akademi Kebidanan Muhammadiyah Cirebon,Jalan Kali Tanjung Timur 1418,Nan
Sekolah Tinggi Teologi Mitra,"Jl. Raya Purwakarta, Km. 12,5, Kampung Cirangrang, Kabupaten Bandung, Jawa Barat",Magetan
Politeknik Bhakti Kartini,Nan,Bekasi
Sekolah Tinggi Ilmu Tarbiyah Otto Iskandar Dinata Banten,"Jalan Raya Puspitek Serpong, Gang Salem Iii Nomor 164/I Rt 02 Rw 07 Kelurahan Serpong Kecamatan Serpong",Tangerang Selatan
Sekolah Tinggi Ilmu Kesehatan Bala Keselamatan Palu,Nan,Palu
Stiks Tamalanrea Makassar,Jalan Ammanagappa No 12,Makassar
Stai Sunan Drajat Lamongan,Jln. K.H. Musthofa Kranji Paciran Lamongan,Nan
Sekolah Tinggi Agama Islam Nurul Ilmi Tanjungbalai,"Kelurahan Sumber Sari, Kecamatan Sei Tualang Raso, Kota Tanjungbalai, Provinsi Sumatera Utara",Tanjung Balai
Stikip Catur Sakti,Jalan Dr Wahidin Sudirahusada Bantul Timur Bantul 55714 Yogyakarta,Bantul
Sekolah Tinggi Ilmu Kesehatan Kesosi,Jalan Pacuan Kuda 1-5 Pulomas,Administrasi Jakarta Barat
Sekolah Tinggi Ilmu Administrasi Yappi,Jalan Sumba No 46,Makassar
Universitas Tulungagung,"Jl Ki Mangunsarkoro, Beji, Boyolangu",Tulungagung
Sekolah Tinggi Teknologi Telematika Cakrawala,Jalan Kyai Haji Sholeh Iskandar No. 89 Kec. Tanah Sareal,Nan
Akademi Teknik Gigi Hang Tuah Jakarta,Jalan Farmasi No 1 Bendungan Hilir,Nan
Amik Pakarti Luhur,"Jalan Imam Bonjol Raya, Kav 8A-8B, Karawaci, Tangerang",Tangerang
Akademi Enterpreneurship Terang Bangsa,"Jl. Arteri Utara, Kompleks Grand Marina, Semarang - Jawa Tengah",Semarang
Universitas Lembah Dempo,Nan,Pagar Alam
Universitas Hayam Wuruk Perbanas,Jl. Wonorejo Utara No.16 Surabaya,Surabaya
Akademi Kebidanan Pondok Pesantren Assanadiyah,Palembang,Nan
Institut Agama Islam Sunan Giri Bojonegoro,-,Nunukan
"Stit Misbahul Ulum Gumawang Belitang Oku Timur, Sumatera Selatan",Tanah Merah Kec. Belitang Madang Raya Kabupaten Oku Timur Sumatera Selatan,Nan
Amik Bsi Jakarta,"Jl. R.S Fatmawati No. 24, Pondok Labu, Jakarta Selatan",Nan
Amik Pgri Kebumen,Jalan Kaswari No 26,Kebumen
Akademi Keuangan Dan Perbankan Lpi,Jalan Matraman Raya No 15,Nan
Stit Ibnu Sina Malang,Jl Raya Sukoraharjo. No 01 Kepanjen Malang,Nan
Universitas Bunda Mulia,Jalan Lodan Raya No 2,Administrasi Jakarta Barat
Universitas Nahdlatul Ulama Pasuruan,Nan,Pasuruan
